Title,Published,Authors,Abstract,Link
Climate change adaption in Chinese ancient architecture,2020-12-28T14:22:09Z,"Siyang Li, Ke Ding, Aijun Ding, Lejun He, Xin Huang, Quansheng Ge, Congbin Fu","As an important symbol of civilization and culture, architectures originally
were built for sheltering human beings from weather disasters and therefore
should be affected by climate change, particularly the associated change in the
occurrence of extreme weather events. However, although meteorology has been
considered as a factor in modern architecture design, it remains unclear
whether and how the ancients adapted to climate change from the perspective of
architecture design, particularly on a millennium time scale. Here we show that
the periodic change and trend of the roof slope of ancient architectures in
northern China clearly demonstrate the climate change adaptation over the past
thousand years. We show that the snowfall fluctuation caused by the
paleo-climate change was an essential driving factor within the roof
modification process of ancient Chinese timber architecture. Our study
indicates that climate change may act as a much more important factor on human
behaviour than we ever thought.",http://arxiv.org/abs/2012.14244v1
"Determining feature importance for actionable climate change mitigation
  policies",2020-03-19T01:06:52Z,"Romit Maulik, Junghwa Choi, Wesley Wehde, Prasanna Balaprakash","Given the importance of public support for policy change and implementation,
public policymakers and researchers have attempted to understand the factors
associated with this support for climate change mitigation policy. In this
article, we compare the feasibility of using different supervised learning
methods for regression using a novel socio-economic data set which measures
public support for potential climate change mitigation policies. Following this
model selection, we utilize gradient boosting regression, a well-known
technique in the machine learning community, but relatively uncommon in public
policy and public opinion research, and seek to understand what factors among
the several examined in previous studies are most central to shaping public
support for mitigation policies in climate change studies. The use of this
method provides novel insights into the most important factors for public
support for climate change mitigation policies. Using national survey data, we
find that the perceived risks associated with climate change are more decisive
for shaping public support for policy options promoting renewable energy and
regulating pollutants. However, we observe a very different behavior related to
public support for increasing the use of nuclear energy where climate change
risk perception is no longer the sole decisive feature. Our findings indicate
that public support for renewable energy is inherently different from that for
nuclear energy reliance with the risk perception of climate change, dominant
for the former, playing a subdued role for the latter.",http://arxiv.org/abs/2003.10234v1
Emergent constraints on climate sensitivities,2020-12-17T09:46:47Z,"Mark S. Williamson, Chad W. Thackeray, Peter M. Cox, Alex Hall, Chris Huntingford, Femke J. M. M. Nijsse","Despite major advances in climate science over the last 30 years, persistent
uncertainties in projections of future climate change remain. Climate
projections are produced with increasingly complex models which attempt to
represent key processes in the Earth system, including atmospheric and oceanic
circulations, convection, clouds, snow, sea-ice, vegetation and interactions
with the carbon cycle. Uncertainties in the representation of these processes
feed through into a range of projections from the many state-of-the-art climate
models now being developed and used worldwide. For example, despite major
improvements in climate models, the range of equilibrium global warming due to
doubling carbon dioxide still spans a range of more than three. Here we review
a promising way to make use of the ensemble of climate models to reduce the
uncertainties in the sensitivities of the real climate system. The emergent
constraint approach uses the model ensemble to identify a relationship between
an uncertain aspect of the future climate and an observable variation or trend
in the contemporary climate. This review summarises previous published work on
emergent constraints, and discusses the huge promise and potential dangers of
the approach. Most importantly, it argues that emergent constraints should be
based on well-founded physical principles such as the fluctuation-dissipation
theorem. It is hoped that this review will stimulate physicists to contribute
to the rapidly developing field of emergent constraints on climate projections,
bringing to it much needed rigour and physical insights.",http://arxiv.org/abs/2012.09468v1
ClimaText: A Dataset for Climate Change Topic Detection,2020-12-01T13:42:37Z,"Francesco S. Varini, Jordan Boyd-Graber, Massimiliano Ciaramita, Markus Leippold","Climate change communication in the mass media and other textual sources may
affect and shape public perception. Extracting climate change information from
these sources is an important task, e.g., for filtering content and
e-discovery, sentiment analysis, automatic summarization, question-answering,
and fact-checking. However, automating this process is a challenge, as climate
change is a complex, fast-moving, and often ambiguous topic with scarce
resources for popular text-based AI tasks. In this paper, we introduce
\textsc{ClimaText}, a dataset for sentence-based climate change topic
detection, which we make publicly available. We explore different approaches to
identify the climate change topic in various text sources. We find that popular
keyword-based models are not adequate for such a complex and evolving task.
Context-based algorithms like BERT \cite{devlin2018bert} can detect, in
addition to many trivial cases, a variety of complex and implicit topic
patterns. Nevertheless, our analysis reveals a great potential for improvement
in several directions, such as, e.g., capturing the discussion on indirect
effects of climate change. Hence, we hope this work can serve as a good
starting point for further research on this topic.",http://arxiv.org/abs/2012.00483v2
Affective Polarization in Online Climate Change Discourse on Twitter,2020-08-29T20:37:33Z,"Aman Tyagi, Joshua Uyheng, Kathleen M. Carley","Online social media has become an important platform to organize around
different socio-cultural and political topics. An extensive scholarship has
discussed how people are divided into echo-chamber-like groups. However, there
is a lack of work related to quantifying hostile communication or
\textit{affective polarization} between two competing groups. This paper
proposes a systematic, network-based methodology for examining affective
polarization in online conversations. Further, we apply our framework to 100
weeks of Twitter discourse about climate change. We find that deniers of
climate change (Disbelievers) are more hostile towards people who believe
(Believers) in the anthropogenic cause of climate change than vice versa.
Moreover, Disbelievers use more words and hashtags related to natural disasters
during more hostile weeks as compared to Believers. These findings bear
implications for studying affective polarization in online discourse,
especially concerning the subject of climate change. Lastly, we discuss our
findings in the context of increasingly important climate change communication
research.",http://arxiv.org/abs/2008.13051v1
Polarizing Tweets on Climate Change,2020-08-29T20:57:54Z,"Aman Tyagi, Matthew Babcock, Kathleen M. Carley, Douglas C. Sicker","We introduce a framework to analyze the conversation between two competing
groups of Twitter users, one who believe in the anthropogenic causes of climate
change (Believers) and a second who are skeptical (Disbelievers). As a case
study, we use Climate Change related tweets during the United Nation's (UN)
Climate Change Conference - COP24 (2018), Katowice, Poland. We find that both
Disbelievers and Believers talk within their group more than with the other
group; this is more so the case for Disbelievers than for Believers. The
Disbeliever messages focused more on attacking those personalities that believe
in the anthropogenic causes of climate change. On the other hand, Believer
messages focused on calls to combat climate change. We find that in both
Disbelievers and Believers bot-like accounts were equally active and that
unlike Believers, Disbelievers get their news from a concentrated number of
news sources.",http://arxiv.org/abs/2008.13054v1
"The Historical Impact of Anthropogenic Climate Change on Global
  Agricultural Productivity",2020-07-20T19:05:29Z,"Ariel Ortiz-Bobea, Toby R. Ault, Carlos M. Carrillo, Robert G. Chambers, David B. Lobell","Agricultural research has fostered productivity growth, but the historical
influence of anthropogenic climate change on that growth has not been
quantified. We develop a robust econometric model of weather effects on global
agricultural total factor productivity (TFP) and combine this model with
counterfactual climate scenarios to evaluate impacts of past climate trends on
TFP. Our baseline model indicates that anthropogenic climate change has reduced
global agricultural TFP by about 21% since 1961, a slowdown that is equivalent
to losing the last 9 years of productivity growth. The effect is substantially
more severe (a reduction of ~30-33%) in warmer regions such as Africa and Latin
America and the Caribbean. We also find that global agriculture has grown more
vulnerable to ongoing climate change.",http://arxiv.org/abs/2007.10415v2
"Modeling Climate Change Impact on Wind Power Resources Using Adaptive
  Neuro-Fuzzy Inference System",2020-01-09T17:35:56Z,"Narjes Nabipour, Amir Mosavi, Eva Hajnal, Laszlo Nadai, Shahab Shamshirband, Kwok-Wing Chau","Climate change impacts and adaptations are the subjects to ongoing issues
that attract the attention of many researchers. Insight into the wind power
potential in an area and its probable variation due to climate change impacts
can provide useful information for energy policymakers and strategists for
sustainable development and management of the energy. In this study, spatial
variation of wind power density at the turbine hub-height and its variability
under future climatic scenarios are taken under consideration. An ANFIS based
post-processing technique was employed to match the power outputs of the
regional climate model with those obtained from the reference data. The
near-surface wind data obtained from a regional climate model are employed to
investigate climate change impacts on the wind power resources in the Caspian
Sea. Subsequent to converting near-surface wind speed to turbine hub-height
speed and computation of wind power density, the results have been investigated
to reveal mean annual power, seasonal, and monthly variability for a 20-year
period in the present (1981-2000) and in the future (2081-2100). The findings
of this study indicated that the middle and northern parts of the Caspian Sea
are placed with the highest values of wind power. However, the results of the
post-processing technique using adaptive neuro-fuzzy inference system (ANFIS)
model showed that the real potential of the wind power in the area is lower
than those of projected from the regional climate model.",http://arxiv.org/abs/2001.04279v1
"From Talk to Action with Accountability: Monitoring the Public
  Discussion of Policy Makers with Deep Neural Networks and Topic Modelling",2020-10-16T12:21:01Z,"Vili Hätönen, Fiona Melzer","Decades of research on climate have provided a consensus that human activity
has changed the climate and we are currently heading into a climate crisis.
While public discussion and research efforts on climate change mitigation have
increased, potential solutions need to not only be discussed but also
effectively deployed. For preventing mismanagement and holding policy makers
accountable, transparency and degree of information about government processes
have been shown to be crucial. However, currently the quantity of information
about climate change discussions and the range of sources make it increasingly
difficult for the public and civil society to maintain an overview to hold
politicians accountable.
  In response, we propose a multi-source topic aggregation system (MuSTAS)
which processes policy makers speech and rhetoric from several publicly
available sources into an easily digestible topic summary. MuSTAS uses novel
multi-source hybrid latent Dirichlet allocation to model topics from a variety
of documents. This topic digest will serve the general public and civil society
in assessing where, how, and when politicians talk about climate and climate
policies, enabling them to hold politicians accountable for their actions to
mitigate climate change and lack thereof.",http://arxiv.org/abs/2010.08346v3
Dynamical Landscape and Multistability of a Climate Model,2020-10-20T15:31:38Z,"Georgios Margazoglou, Tobias Grafke, Alessandro Laio, Valerio Lucarini","We apply two independent data analysis methodologies to locate stable climate
states in an intermediate complexity climate model and analyze their interplay.
First, drawing from the theory of quasipotentials, and viewing the state space
as an energy landscape with valleys and mountain ridges, we infer the relative
likelihood of the identified multistable climate states, and investigate the
most likely transition trajectories as well as the expected transition times
between them. Second, harnessing techniques from data science, specifically
manifold learning, we characterize the data landscape of the simulation output
to find climate states and basin boundaries within a fully agnostic and
unsupervised framework. Both approaches show remarkable agreement, and reveal,
apart from the well known warm and snowball earth states, a third intermediate
stable state in one of the two climate models we consider. The combination of
our approaches allows to identify how the negative feedback of ocean heat
transport and entropy production via the hydrological cycle drastically change
the topography of the dynamical landscape of Earth's climate.",http://arxiv.org/abs/2010.10374v2
"FireSRnet: Geoscience-Driven Super-Resolution of Future Fire Risk from
  Climate Change",2020-11-24T20:19:51Z,"Tristan Ballard, Gopal Erinjippurath","With fires becoming increasingly frequent and severe across the globe in
recent years, understanding climate change's role in fire behavior is critical
for quantifying current and future fire risk. However, global climate models
typically simulate fire behavior at spatial scales too coarse for local risk
assessments. Therefore, we propose a novel approach towards super-resolution
(SR) enhancement of fire risk exposure maps that incorporates not only 2000 to
2020 monthly satellite observations of active fires but also local information
on land cover and temperature. Inspired by SR architectures, we propose an
efficient deep learning model trained for SR on fire risk exposure maps. We
evaluate this model on resolution enhancement and find it outperforms standard
image interpolation techniques at both 4x and 8x enhancement while having
comparable performance at 2x enhancement. We then demonstrate the
generalizability of this SR model over northern California and New South Wales,
Australia. We conclude with a discussion and application of our proposed model
to climate model simulations of fire risk in 2040 and 2100, illustrating the
potential for SR enhancement of fire risk maps from the latest state-of-the-art
climate models.",http://arxiv.org/abs/2011.12353v1
"Constraining Global Changes in Temperature and Precipitation From
  Observable Changes in Surface Radiative Heating",2020-04-29T12:46:47Z,Chirag Dhara,"Changes in the atmospheric composition alter the magnitude and partitioning
between the downward propagating solar and atmospheric longwave radiative
fluxes heating the Earth's surface. These changes are computed by radiative
transfer codes in Global Climate Models, and measured with high precision at
surface observation networks. Changes in radiative heating signify changes in
the global surface temperature and hydrologic cycle. Here, we develop a
conceptual framework using an Energy Balance Model to show that first order
changes in the hydrologic cycle are mainly associated with changes in solar
radiation, while that in surface temperature are mainly associated with changes
in atmospheric longwave radiation. These insights are used to explain a range
of phenomena including observed historical trends, biases in climate model
output, and the inter-model spread in climate change projections. These results
may help identify biases in future generations of climate models.",http://arxiv.org/abs/2004.14144v1
"Fingerprinting Heatwaves and Cold Spells and Assessing Their Response to
  Climate Change using Large Deviation Theory",2020-10-16T09:45:08Z,"Vera Melinda Galfi, Valerio Lucarini","Extreme events provide relevant insights into the dynamics of climate and
their understanding is key for mitigating the impact of climate variability and
climate change. By applying large deviation theory to a state-of-the-art Earth
system model, we define the climatology of persistent heatwaves and cold spells
in key target geographical regions by estimating the rate functions for the
surface temperature, and we assess the impact of increasing CO$_2$
concentration on such persistent anomalies. Hence, we can better quantify the
increasing hazard {\color{black}due} to heatwaves in a warmer climate. We show
that two 2010 high impact events - summer Russian heatwave and winter Dzud in
Mongolia - are associated with atmospheric patterns that are exceptional
compared to the typical ones, but typical compared to the climatology of
extremes. Their dynamics is encoded in the natural variability of the climate.
Finally, we propose and test an approximate formula for the return times of
large and persistent temperature fluctuations from easily accessible
statistical properties.",http://arxiv.org/abs/2010.08272v2
Deep Learning for Climate Model Output Statistics,2020-12-09T11:38:37Z,"Michael Steininger, Daniel Abel, Katrin Ziegler, Anna Krause, Heiko Paeth, Andreas Hotho","Climate models are an important tool for the assessment of prospective
climate change effects but they suffer from systematic and representation
errors, especially for precipitation. Model output statistics (MOS) reduce
these errors by fitting the model output to observational data with machine
learning. In this work, we explore the feasibility and potential of deep
learning with convolutional neural networks (CNNs) for MOS. We propose the CNN
architecture ConvMOS specifically designed for reducing errors in climate model
outputs and apply it to the climate model REMO. Our results show a considerable
reduction of errors and mostly improved performance compared to three commonly
used MOS approaches.",http://arxiv.org/abs/2012.10394v1
"Multi-Agent Reinforcement Learning and Human Social Factors in Climate
  Change Mitigation",2020-02-12T18:46:48Z,"Kyle Tilbury, Jesse Hoey","Many complex real-world problems, such as climate change mitigation, are
intertwined with human social factors. Climate change mitigation, a social
dilemma made difficult by the inherent complexities of human behavior, has an
impact at a global scale. We propose applying multi-agent reinforcement
learning (MARL) in this setting to develop intelligent agents that can
influence the social factors at play in climate change mitigation. There are
ethical, practical, and technical challenges that must be addressed when
deploying MARL in this way. In this paper, we present these challenges and
outline an approach to address them. Understanding how intelligent agents can
be used to impact human social factors is important to prevent their abuse and
can be beneficial in furthering our knowledge of these complex problems as a
whole. The challenges we present are not limited to our specific application
but are applicable to broader MARL. Thus, developing MARL for social factors in
climate change mitigation helps address general problems hindering MARL's
applicability to other real-world problems while also motivating discussion on
the social implications of MARL deployment.",http://arxiv.org/abs/2002.05147v1
"REME -- Renewable Energy and Materials Economy -- The Path to Energy
  Security, Prosperity and Climate Stability",2020-12-29T23:34:44Z,Peter Eisenberger,"A Renewable Energy and Materials Economy (REME) is proposed as the solution
to the climate change threat. REME mimics nature to produce carbon neutral
liquid fuels and chemicals as well as carbon negative materials by using water,
CO$_2$ from the atmosphere and renewable energy as inputs. By being in harmony
with nature REME has a positive feedback between economic development and
climate change protection. In REME the feedback driven accelerated rate of
economic growth enables the climate change threat to be addressed in a timely
manner. It is also cost-effective protection because it sequesters by
monetizing the carbon removed from the air in carbon-based building materials.
Thus, addressing the climate change threat is not a cost to the economy but a
result of REME driven prosperity.",http://arxiv.org/abs/2012.14976v1
"Zonally opposing shifts of the intertropical convergence zone in
  response to climate change",2020-07-01T04:48:26Z,"Antonios Mamalakis, James T. Randerson, Jin-Yi Yu, Michael S. Pritchard, Gudrun Magnusdottir, Padhraic Smyth, Paul A. Levine, Sungduk Yu, Efi Foufoula-Georgiou","Future changes in the location of the intertropical convergence zone (ITCZ)
due to climate change are of high interest since they could substantially alter
precipitation patterns in the tropics and subtropics. Although models predict a
future narrowing of the ITCZ during the 21st century in response to climate
warming, uncertainties remain large regarding its future position, with most
past work focusing on the zonal-mean ITCZ shifts. Here we use projections from
27 state-of-the-art climate models (CMIP6) to investigate future changes in
ITCZ location as a function of longitude and season, in response to climate
warming. We document a robust zonally opposing response of the ITCZ, with a
northward shift over eastern Africa and the Indian Ocean, and a southward shift
in the eastern Pacific and Atlantic Ocean by 2100, for the SSP3-7.0 scenario.
Using a two-dimensional energetics framework, we find that the revealed ITCZ
response is consistent with future changes in the divergent atmospheric energy
transport over the tropics, and sector-mean shifts of the energy flux equator
(EFE). The changes in the EFE appear to be the result of zonally opposing
imbalances in the hemispheric atmospheric heating over the two sectors,
consisting of increases in atmospheric heating over Eurasia and cooling over
the Southern Ocean, which contrast with atmospheric cooling over the North
Atlantic Ocean due to a model-projected weakening of the Atlantic meridional
overturning circulation.",http://arxiv.org/abs/2007.00239v1
"Multivariate Estimations of Equilibrium Climate Sensitivity from Short
  Transient Warming Simulations",2020-10-02T08:12:17Z,"Robbin Bastiaansen, Henk A. Dijkstra, Anna S. von der Heydt","One of the most used metrics to gauge the effects of climate change is the
equilibrium climate sensitivity, defined as the long-term (equilibrium)
temperature increase resulting from instantaneous doubling of atmospheric
CO$_2$. Since global climate models cannot be fully equilibrated in practice,
extrapolation techniques are used to estimate the equilibrium state from
transient warming simulations. Because of the abundance of climate feedbacks -
spanning a wide range of temporal scales - it is hard to extract long-term
behaviour from short-time series; predominantly used techniques are only
capable of detecting the single most dominant eigenmode, thus hampering their
ability to give accurate long-term estimates. Here, we present an extension to
those methods by incorporating data from multiple observables in a
multi-component linear regression model. This way, not only the dominant but
also the next-dominant eigenmodes of the climate system are captured, leading
to better long-term estimates from short, non-equilibrated time series.",http://arxiv.org/abs/2010.00845v1
Analyzing Sustainability Reports Using Natural Language Processing,2020-11-03T21:22:42Z,"Alexandra Luccioni, Emily Baylor, Nicolas Duchene","Climate change is a far-reaching, global phenomenon that will impact many
aspects of our society, including the global stock market
\cite{dietz2016climate}. In recent years, companies have increasingly been
aiming to both mitigate their environmental impact and adapt to the changing
climate context. This is reported via increasingly exhaustive reports, which
cover many types of climate risks and exposures under the umbrella of
Environmental, Social, and Governance (ESG). However, given this abundance of
data, sustainability analysts are obliged to comb through hundreds of pages of
reports in order to find relevant information. We leveraged recent progress in
Natural Language Processing (NLP) to create a custom model, ClimateQA, which
allows the analysis of financial reports in order to identify climate-relevant
sections based on a question answering approach. We present this tool and the
methodology that we used to develop it in the present article.",http://arxiv.org/abs/2011.08073v2
"On the abrupt change of the maximum likelihood state in a simplified
  stochastic thermohaline circulation system",2020-12-05T07:09:26Z,"Fang Yang, Xu Sun, Jinqiao Duan","The maximum likelihood state for a simplified stochastic thermohaline
circulation model is investigated. It is shown that a jump occurs for the
maximum likelihood state during transitions between two metastable states. The
jump helps to explain the mechanism of the abrupt change in the climate systems
as revealed by various climate records.",http://arxiv.org/abs/2012.02963v1
The impact of climate change on astronomical observations,2020-09-24T16:07:46Z,"Faustine Cantalloube, Julien Milli, Christoph Böhm, Susanne Crewell, Julio Navarrete, Kira Rehfeld, Marc Sarazin, Anna Sommani","Climate change is affecting and will increasingly affect astronomical
observations. In this paper, we investigated the role some key weather
parameters play in the quality of astronomical observations, and analysed their
long-term trends (longer than 30 years) in order to grasp the impact of climate
change on current and future observations. In this preliminary study, we
specifically analysed four parameters, the temperature, the surface layer
turbulence, the wind speed at the jetstream layer and the humidity. The
analyses is conducted with data from the Very Large Telescope (VLT), operated
by the European Southern Observatory (ESO), located at Cerro Paranal in the
Atacama desert, Chile, which is one of the driest places on Earth. To complete
the data from the various sensors installed at Paranal, we used the fifth
generation and 20th century European Centre Medium-Range Weather Forecasts
(ECMWF) atmospheric reanalysis of the global climate, ERA5 (from 1980 to now)
and ERA20C (from 1900 to 2010), which we interpolated at the Paranal
observatory location. In addition, we also explored climate projections in this
region, using the Coupled Model Intercomparison Project Phase 6 (CMIP6)
multi-model ensemble, under the worst-case climate change Shared Socio-Economic
Pathways (SSP5-8.5) scenario. Further investigation is needed to better
understand the underlying mechanisms of change, as well as to assess the
severity of the impact.",http://arxiv.org/abs/2009.11779v1
